index	EXP_ID	GROUP_ID	INDIVIDUAL_ID	COMPOUND_NAME	SINGLE_REPEAT_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_UNIT	DOSE_LEVEL	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
14219	463	9	1	disopyramide	Repeat	4 day	120	mg/kg	Middle	1299.0	62.0	109.0	136.0	0.0	0.0	197.0	15.0	0.2	145.0	4.4	108.0	10.9	7.5	5.2	2.9	1.2	78.0	59.0	193.0	1.0
14224	463	10	1	disopyramide	Repeat	8 day	120	mg/kg	Middle	1398.0	70.0	122.0	137.0	0.0	0.0	203.0	15.0	0.2	142.0	4.2	108.0	10.6	7.3	5.3	2.9	1.2	67.0	38.0	143.0	2.0
14229	463	11	1	disopyramide	Repeat	15 day	120	mg/kg	Middle	2069.0	66.0	288.0	153.0	0.0	0.0	216.0	15.0	0.1	143.0	3.6	106.0	10.7	6.2	5.9	3.0	1.0	64.0	40.0	110.0	3.0
14234	463	12	1	disopyramide	Repeat	29 day	120	mg/kg	Middle	1294.0	71.0	127.0	141.0	0.0	0.0	210.0	17.0	0.2	140.0	4.2	108.0	11.0	6.2	6.0	2.9	1.0	62.0	43.0	134.0	2.0
14239	463	13	1	disopyramide	Repeat	4 day	400	mg/kg	High	1356.0	75.0	87.0	141.0	0.0	0.0	154.0	11.0	0.2	143.0	3.8	106.0	10.8	6.3	5.3	2.8	1.1	61.0	34.0	125.0	1.0
14244	463	14	1	disopyramide	Repeat	8 day	400	mg/kg	High	1667.0	78.0	180.0	177.0	0.0	0.0	182.0	15.0	0.1	142.0	3.9	106.0	11.1	8.4	5.6	3.2	1.3	74.0	57.0	146.0	1.0
14249	463	15	1	disopyramide	Repeat	15 day	400	mg/kg	High	1414.0	67.0	122.0	139.0	0.0	0.0	172.0	14.0	0.1	143.0	4.4	105.0	10.4	7.3	5.6	3.1	1.3	67.0	43.0	158.0	2.0
14254	463	16	2	disopyramide	Repeat	29 day	400	mg/kg	High	959.0	106.0	170.0	187.0	0.0	0.0	184.0	20.0	0.1	142.0	4.2	107.0	10.5	5.4	6.1	3.1	1.1	114.0	92.0	219.0	2.0
14258	464	1	1	mexiletine	Single	3 hr	0	mg/kg	Control	1315.0	80.0	77.0	137.0	0.02	0.0	190.0	15.0	0.2	142.0	3.7	106.0	10.6	8.8	5.4	3.0	1.3	77.0	39.0	253.0	2.0
14263	464	2	1	mexiletine	Single	6 hr	0	mg/kg	Control	1030.0	79.0	67.0	132.0	0.02	0.0	190.0	13.0	0.2	141.0	3.7	106.0	10.5	8.5	5.6	3.2	1.3	83.0	42.0	261.0	1.0
14268	464	3	1	mexiletine	Single	9 hr	0	mg/kg	Control	1491.0	72.0	45.0	132.0	0.01	0.0	190.0	12.0	0.2	142.0	3.9	105.0	10.4	10.1	5.4	2.9	1.2	60.0	31.0	167.0	1.0
14273	464	4	1	mexiletine	Single	24 hr	0	mg/kg	Control	1740.0	68.0	71.0	125.0	0.0	0.0	192.0	17.0	0.2	143.0	3.6	107.0	10.7	7.5	5.4	2.8	1.1	78.0	43.0	148.0	1.0
14278	464	5	1	mexiletine	Single	3 hr	40	mg/kg	Low	2267.0	84.0	115.0	160.0	0.0	0.0	194.0	13.0	0.2	143.0	4.0	105.0	10.9	9.3	5.6	2.9	1.1	88.0	56.0	207.0	1.0
14283	464	6	1	mexiletine	Single	6 hr	40	mg/kg	Low	1787.0	75.0	50.0	127.0	0.01	0.0	182.0	10.0	0.2	141.0	4.2	106.0	10.7	7.7	5.4	3.0	1.2	72.0	43.0	152.0	1.0
14288	464	7	1	mexiletine	Single	9 hr	40	mg/kg	Low	1229.0	78.0	82.0	140.0	0.02	0.01	176.0	10.0	0.2	142.0	4.0	108.0	10.5	10.4	5.3	3.0	1.2	59.0	34.0	122.0	1.0
14293	464	8	1	mexiletine	Single	24 hr	40	mg/kg	Low	1641.0	80.0	126.0	145.0	0.0	0.0	189.0	17.0	0.2	141.0	4.5	105.0	11.0	7.2	5.6	3.1	1.2	61.0	37.0	136.0	2.0
14298	464	9	1	mexiletine	Single	3 hr	120	mg/kg	Middle	1367.0	88.0	85.0	156.0	0.01	0.0	181.0	14.0	0.2	141.0	4.7	107.0	10.2	9.0	5.3	2.9	1.2	82.0	62.0	160.0	2.0
14303	464	10	1	mexiletine	Single	6 hr	120	mg/kg	Middle	1995.0	73.0	44.0	125.0	0.02	0.0	171.0	7.0	0.2	142.0	4.4	108.0	10.6	9.1	5.6	2.9	1.1	73.0	49.0	137.0	2.0
14308	464	11	1	mexiletine	Single	9 hr	120	mg/kg	Middle	1583.0	81.0	66.0	141.0	0.02	0.0	195.0	10.0	0.2	139.0	4.7	103.0	10.4	9.5	5.0	2.7	1.2	79.0	44.0	112.0	1.0
14313	464	12	1	mexiletine	Single	24 hr	120	mg/kg	Middle	1705.0	73.0	72.0	127.0	0.01	0.0	190.0	15.0	0.2	142.0	4.2	106.0	10.4	7.0	5.5	3.1	1.3	75.0	46.0	174.0	2.0
14318	464	13	1	mexiletine	Single	3 hr	400	mg/kg	High	1233.0	79.0	34.0	128.0	0.02	0.0	167.0	11.0	0.1	140.0	4.1	103.0	10.3	10.0	5.2	2.8	1.1	109.0	67.0	156.0	1.0
14323	464	14	1	mexiletine	Single	6 hr	400	mg/kg	High	1718.0	80.0	44.0	132.0	0.02	0.0	170.0	8.0	0.2	143.0	4.1	109.0	9.9	8.5	5.3	2.9	1.2	88.0	50.0	169.0	1.0
14328	464	15	1	mexiletine	Single	9 hr	400	mg/kg	High	1108.0	88.0	41.0	155.0	0.03	0.0	180.0	8.0	0.2	141.0	4.7	107.0	10.1	8.3	5.3	3.0	1.3	64.0	40.0	140.0	1.0
14333	464	16	1	mexiletine	Single	24 hr	400	mg/kg	High	1210.0	96.0	194.0	179.0	0.0	0.0	175.0	15.0	0.2	143.0	4.2	104.0	10.6	7.7	5.6	3.1	1.2	63.0	39.0	182.0	1.0
14338	465	1	1	mexiletine	Repeat	4 day	0	mg/kg	Control	2372.0	73.0	88.0	134.0	0.0	0.0	216.0	16.0	0.1	141.0	4.1	105.0	10.5	8.2	5.2	2.8	1.2	81.0	53.0	191.0	3.0
14343	465	2	1	mexiletine	Repeat	8 day	0	mg/kg	Control	1746.0	67.0	134.0	145.0	0.0	0.0	198.0	19.0	0.2	141.0	3.7	105.0	10.5	6.5	5.7	3.0	1.1	73.0	47.0	143.0	1.0
14348	465	3	1	mexiletine	Repeat	15 day	0	mg/kg	Control	1544.0	67.0	199.0	160.0	0.01	0.0	214.0	16.0	0.2	139.0	4.0	103.0	10.7	7.7	5.7	2.9	1.0	69.0	43.0	183.0	2.0
14353	465	4	1	mexiletine	Repeat	29 day	0	mg/kg	Control	1142.0	62.0	145.0	131.0	0.01	0.0	204.0	17.0	0.2	142.0	3.8	104.0	10.2	7.2	6.0	3.1	1.1	53.0	31.0	106.0	2.0
14358	465	5	1	mexiletine	Repeat	4 day	40	mg/kg	Low	2098.0	81.0	157.0	160.0	0.0	0.0	199.0	18.0	0.1	139.0	4.4	105.0	10.6	7.6	5.8	3.2	1.3	73.0	39.0	143.0	1.0
14363	465	6	1	mexiletine	Repeat	8 day	40	mg/kg	Low	2726.0	74.0	91.0	130.0	0.0	0.0	195.0	19.0	0.1	143.0	4.2	106.0	10.6	7.8	5.6	3.0	1.2	70.0	53.0	147.0	2.0
14368	465	7	1	mexiletine	Repeat	15 day	40	mg/kg	Low	1463.0	76.0	191.0	150.0	0.0	0.0	203.0	19.0	0.2	140.0	4.4	105.0	10.9	7.3	5.9	2.9	1.0	68.0	55.0	131.0	2.0
14373	465	8	1	mexiletine	Repeat	29 day	40	mg/kg	Low	1265.0	74.0	191.0	165.0	0.02	0.0	204.0	17.0	0.2	143.0	3.9	105.0	10.5	7.1	6.3	3.2	1.1	56.0	36.0	192.0	1.0
14378	465	9	1	mexiletine	Repeat	4 day	120	mg/kg	Middle	1507.0	106.0	213.0	199.0	0.0	0.0	220.0	17.0	0.1	141.0	4.4	105.0	10.7	8.5	5.8	3.2	1.3	77.0	49.0	248.0	3.0
14383	465	10	1	mexiletine	Repeat	8 day	120	mg/kg	Middle	1805.0	69.0	209.0	151.0	0.0	0.0	190.0	18.0	0.2	143.0	4.4	107.0	10.5	7.5	5.5	3.0	1.2	72.0	45.0	137.0	1.0
14388	465	11	1	mexiletine	Repeat	15 day	120	mg/kg	Middle	995.0	76.0	243.0	174.0	0.0	0.0	200.0	20.0	0.2	141.0	4.3	108.0	10.6	5.8	5.9	2.8	0.9	67.0	37.0	248.0	2.0
14393	465	12	1	mexiletine	Repeat	29 day	120	mg/kg	Middle	1024.0	68.0	86.0	136.0	0.01	0.0	198.0	17.0	0.2	143.0	4.1	107.0	10.0	5.6	5.9	3.0	1.0	80.0	50.0	129.0	2.0
14398	465	13	1	mexiletine	Repeat	4 day	400	mg/kg	High	2102.0	83.0	107.0	147.0	0.01	0.0	188.0	12.0	0.2	142.0	4.1	106.0	10.5	6.3	5.6	3.3	1.4	76.0	52.0	159.0	1.0
14403	465	14	1	mexiletine	Repeat	8 day	400	mg/kg	High	1691.0	63.0	173.0	152.0	0.0	0.0	177.0	18.0	0.1	144.0	3.9	105.0	11.0	6.9	5.9	3.1	1.1	74.0	45.0	116.0	1.0
14408	465	15	1	mexiletine	Repeat	15 day	400	mg/kg	High	2100.0	85.0	174.0	178.0	0.0	0.0	171.0	20.0	0.2	141.0	4.7	107.0	10.4	6.6	5.9	3.0	1.0	88.0	48.0	166.0	3.0
14413	465	16	1	mexiletine	Repeat	29 day	400	mg/kg	High	1136.0	92.0	178.0	193.0	0.01	0.0	166.0	17.0	0.1	143.0	4.3	103.0	10.8	6.7	6.3	3.4	1.2	63.0	44.0	127.0	2.0
14418	466	1	1	tiopronin	Single	3 hr	0	mg/kg	Control	1925.0	71.0	64.0	123.0	0.03	0.0	181.0	12.0	0.1	144.0	3.7	106.0	10.9	8.5	5.6	3.0	1.2	90.0	63.0	265.0	2.0
14423	466	2	1	tiopronin	Single	6 hr	0	mg/kg	Control	1563.0	69.0	95.0	130.0	0.02	0.0	195.0	10.0	0.1	143.0	4.4	106.0	10.3	9.4	5.2	2.8	1.2	64.0	36.0	125.0	2.0
14428	466	3	1	tiopronin	Single	9 hr	0	mg/kg	Control	2060.0	67.0	80.0	130.0	0.01	0.0	194.0	13.0	0.2	143.0	4.7	105.0	10.7	9.2	5.4	2.8	1.1	60.0	40.0	133.0	1.0
14433	466	4	1	tiopronin	Single	24 hr	0	mg/kg	Control	1880.0	75.0	81.0	139.0	0.0	0.0	217.0	20.0	0.1	140.0	4.7	103.0	10.8	7.4	5.5	2.8	1.1	77.0	48.0	204.0	2.0
14438	466	5	1	tiopronin	Single	3 hr	100	mg/kg	Low	2131.0	67.0	71.0	121.0	0.01	0.0	183.0	10.0	0.1	143.0	3.8	107.0	11.0	8.1	5.3	2.9	1.2	66.0	39.0	153.0	2.0
14443	466	6	1	tiopronin	Single	6 hr	100	mg/kg	Low	1286.0	72.0	41.0	116.0	0.02	0.0	181.0	8.0	0.1	145.0	4.4	105.0	10.7	10.0	5.6	2.9	1.1	77.0	42.0	226.0	2.0
14448	466	7	1	tiopronin	Single	9 hr	100	mg/kg	Low	1368.0	74.0	39.0	125.0	0.02	0.0	193.0	11.0	0.1	146.0	3.9	108.0	10.4	9.8	5.3	2.8	1.1	73.0	44.0	120.0	1.0
14453	466	8	1	tiopronin	Single	24 hr	100	mg/kg	Low	1675.0	76.0	88.0	132.0	0.01	0.0	173.0	13.0	0.2	144.0	4.2	105.0	11.0	7.7	5.8	3.0	1.1	73.0	44.0	161.0	1.0
14458	466	9	1	tiopronin	Single	3 hr	300	mg/kg	Middle	1165.0	78.0	42.0	134.0	0.01	0.0	195.0	13.0	0.1	142.0	3.9	107.0	10.7	7.7	5.4	2.9	1.1	82.0	86.0	189.0	2.0
14463	466	10	1	tiopronin	Single	6 hr	300	mg/kg	Middle	1418.0	57.0	56.0	107.0	0.03	0.0	192.0	9.0	0.1	142.0	4.2	108.0	11.0	9.3	5.4	2.9	1.2	75.0	69.0	150.0	2.0
14468	466	11	1	tiopronin	Single	9 hr	300	mg/kg	Middle	1535.0	55.0	53.0	106.0	0.03	0.01	191.0	11.0	0.1	144.0	4.1	108.0	10.8	9.6	5.2	2.9	1.3	80.0	75.0	154.0	1.0
14473	466	12	1	tiopronin	Single	24 hr	300	mg/kg	Middle	1367.0	90.0	163.0	160.0	0.02	0.0	201.0	16.0	0.1	142.0	4.6	105.0	10.9	7.5	5.6	3.2	1.3	77.0	49.0	152.0	2.0
14478	466	13	1	tiopronin	Single	3 hr	1000	mg/kg	High	1149.0	66.0	72.0	117.0	0.01	0.0	208.0	9.0	0.1	141.0	3.8	106.0	10.5	8.6	5.1	2.7	1.1	89.0	81.0	256.0	2.0
14483	466	14	1	tiopronin	Single	6 hr	1000	mg/kg	High	1478.0	67.0	34.0	118.0	0.02	0.0	211.0	10.0	0.1	143.0	3.8	109.0	10.5	8.7	5.5	3.0	1.2	81.0	82.0	148.0	1.0
14488	466	15	1	tiopronin	Single	9 hr	1000	mg/kg	High	1592.0	58.0	69.0	99.0	0.0	0.0	174.0	11.0	0.1	140.0	4.9	108.0	10.5	9.4	5.1	2.7	1.2	83.0	73.0	168.0	1.0
14493	466	16	1	tiopronin	Single	24 hr	1000	mg/kg	High	1209.0	70.0	137.0	125.0	0.0	0.0	172.0	18.0	0.2	143.0	4.6	107.0	10.6	8.0	5.3	2.9	1.2	71.0	44.0	157.0	1.0
14498	467	1	1	tiopronin	Repeat	4 day	0	mg/kg	Control	1538.0	91.0	71.0	152.0	0.0	0.0	199.0	19.0	0.2	140.0	3.9	106.0	10.3	7.8	5.3	2.8	1.1	68.0	37.0	146.0	1.0
14503	467	2	1	tiopronin	Repeat	8 day	0	mg/kg	Control	1756.0	74.0	111.0	146.0	0.0	0.0	182.0	18.0	0.2	142.0	4.5	110.0	10.3	5.9	5.3	3.0	1.3	66.0	27.0	157.0	1.0
14508	467	3	1	tiopronin	Repeat	15 day	0	mg/kg	Control	2269.0	60.0	152.0	125.0	0.0	0.0	207.0	18.0	0.2	140.0	4.3	106.0	10.3	6.9	5.4	3.1	1.4	71.0	44.0	169.0	2.0
14513	467	4	1	tiopronin	Repeat	29 day	0	mg/kg	Control	1061.0	53.0	52.0	112.0	0.04	0.0	206.0	16.0	0.2	143.0	4.3	108.0	10.5	6.2	5.7	3.3	1.3	67.0	34.0	118.0	1.0
14518	467	5	1	tiopronin	Repeat	4 day	100	mg/kg	Low	1692.0	93.0	170.0	176.0	0.01	0.0	187.0	16.0	0.2	141.0	4.5	104.0	11.1	8.5	5.6	3.1	1.2	66.0	45.0	155.0	2.0
14523	467	6	1	tiopronin	Repeat	8 day	100	mg/kg	Low	1727.0	64.0	151.0	140.0	0.0	0.0	222.0	16.0	0.2	141.0	4.0	106.0	10.7	7.5	5.9	3.0	1.0	65.0	38.0	161.0	2.0
14528	467	7	1	tiopronin	Repeat	15 day	100	mg/kg	Low	1253.0	68.0	98.0	135.0	0.01	0.0	185.0	17.0	0.2	142.0	4.0	107.0	10.4	6.9	5.6	3.0	1.2	64.0	32.0	119.0	2.0
14533	467	8	1	tiopronin	Repeat	29 day	100	mg/kg	Low	839.0	70.0	61.0	119.0	0.04	0.0	184.0	15.0	0.2	142.0	3.9	108.0	10.4	6.5	5.8	3.2	1.2	51.0	29.0	80.0	1.0
14538	467	9	1	tiopronin	Repeat	4 day	300	mg/kg	Middle	1287.0	73.0	54.0	119.0	0.01	0.0	185.0	14.0	0.2	140.0	4.8	106.0	10.5	8.0	5.4	3.0	1.3	70.0	41.0	142.0	2.0
14543	467	10	1	tiopronin	Repeat	8 day	300	mg/kg	Middle	1193.0	81.0	159.0	153.0	0.0	0.0	180.0	16.0	0.1	140.0	4.5	108.0	10.4	6.5	5.5	2.9	1.1	64.0	35.0	140.0	2.0
14548	467	11	1	tiopronin	Repeat	15 day	300	mg/kg	Middle	1336.0	73.0	119.0	141.0	0.01	0.0	188.0	15.0	0.2	141.0	4.7	108.0	10.7	7.6	5.6	3.2	1.3	63.0	42.0	136.0	2.0
14553	467	12	1	tiopronin	Repeat	29 day	300	mg/kg	Middle	1096.0	76.0	109.0	156.0	0.02	0.0	206.0	18.0	0.2	144.0	3.8	106.0	10.9	6.7	6.2	3.3	1.2	66.0	39.0	155.0	2.0
14558	467	13	1	tiopronin	Repeat	4 day	1000	mg/kg	High	1615.0	69.0	110.0	138.0	0.01	0.0	185.0	15.0	0.1	141.0	4.3	104.0	10.9	7.2	5.4	3.0	1.2	81.0	61.0	162.0	2.0
14563	467	14	1	tiopronin	Repeat	8 day	1000	mg/kg	High	1056.0	65.0	128.0	134.0	0.01	0.0	171.0	19.0	0.2	142.0	3.9	107.0	10.7	7.7	5.4	3.1	1.3	74.0	38.0	130.0	2.0
14568	467	15	1	tiopronin	Repeat	15 day	1000	mg/kg	High	936.0	50.0	131.0	110.0	0.0	0.0	179.0	19.0	0.2	141.0	4.0	106.0	10.6	6.5	5.6	3.1	1.3	66.0	42.0	149.0	2.0
14573	467	16	1	tiopronin	Repeat	29 day	1000	mg/kg	High	1061.0	56.0	102.0	124.0	0.03	0.0	169.0	15.0	0.2	144.0	4.0	105.0	10.6	6.5	5.7	3.3	1.4	65.0	45.0	90.0	2.0
14578	480	1	1	phalloidin	Single	3 hr	0	mg/kg	Control	1601.0	83.0	63.0	135.0	0.0	0.0	181.0	12.0	0.2	143.0	3.8	109.0	10.5	8.7	5.1	2.9	1.3	79.0	48.0	171.0	1.0
14583	480	2	1	phalloidin	Single	6 hr	0	mg/kg	Control	1266.0	72.0	48.0	121.0	0.0	0.0	189.0	14.0	0.2	140.0	4.4	108.0	10.2	8.1	5.0	2.7	1.2	66.0	35.0	98.0	1.0
14588	480	3	1	phalloidin	Single	9 hr	0	mg/kg	Control	1689.0	77.0	70.0	130.0	0.0	0.0	212.0	16.0	0.2	139.0	4.5	105.0	10.4	7.8	5.4	3.0	1.3	71.0	42.0	136.0	1.0
14593	480	4	1	phalloidin	Single	24 hr	0	mg/kg	Control	1342.0	110.0	47.0	160.0	0.0	0.0	193.0	14.0	0.2	141.0	3.9	104.0	10.6	10.1	5.5	3.0	1.2	62.0	40.0	161.0	2.0
14598	480	5	1	phalloidin	Single	3 hr	0	mg/kg	High	2104.0	85.0	40.0	129.0	0.01	0.0	197.0	11.0	0.2	139.0	3.9	107.0	10.1	8.4	4.7	2.5	1.1	124.0	57.0	265.0	1.0
14603	480	6	1	phalloidin	Single	6 hr	0	mg/kg	High	1824.0	104.0	75.0	161.0	0.0	0.0	194.0	15.0	0.2	142.0	3.6	106.0	10.2	6.9	5.1	3.0	1.4	106.0	63.0	253.0	2.0
14608	480	7	1	phalloidin	Single	9 hr	0	mg/kg	High	1342.0	81.0	65.0	125.0	0.01	0.0	185.0	14.0	0.2	141.0	4.1	107.0	10.4	7.8	5.3	3.0	1.3	98.0	51.0	163.0	1.0
14613	480	8	1	phalloidin	Single	24 hr	0	mg/kg	High	1511.0	103.0	53.0	151.0	0.01	0.0	175.0	13.0	0.1	142.0	4.4	108.0	10.5	8.7	5.2	2.8	1.2	89.0	47.0	227.0	2.0
14618	481	1	1	phalloidin	Repeat	4 day	0	mg/kg	Control	1553.0	80.0	97.0	150.0	0.0	0.0	193.0	16.0	0.2	141.0	4.6	105.0	10.9	7.8	5.8	3.2	1.2	72.0	50.0	145.0	1.0
14623	481	2	1	phalloidin	Repeat	8 day	0	mg/kg	Control	1356.0	85.0	53.0	142.0	0.01	0.0	207.0	20.0	0.2	141.0	4.0	105.0	10.7	8.8	5.4	2.9	1.2	65.0	32.0	191.0	3.0
14628	481	3	1	phalloidin	Repeat	4 day	0	mg/kg	High	1885.0	119.0	40.0	174.0	0.03	0.02	173.0	14.0	0.1	142.0	4.9	106.0	10.9	8.8	5.6	3.0	1.1	72.0	41.0	174.0	2.0
14633	481	4	1	phalloidin	Repeat	8 day	0	mg/kg	High	2267.0	140.0	33.0	194.0	0.27	0.22	175.0	16.0	0.1	141.0	4.8	107.0	10.7	6.9	5.9	2.6	0.8	126.0	55.0	228.0	3.0
14638	489	1	1	acetazolamide	Single	3 hr	0	mg/kg	Control	1699.0	78.0	56.0	145.0	0.02	0.0	189.0	12.0	0.2	143.0	3.9	105.0	11.4	8.2	5.6	3.2	1.4	77.0	47.0	207.0	1.0
14643	489	2	1	acetazolamide	Single	6 hr	0	mg/kg	Control	1285.0	79.0	31.0	125.0	0.03	0.0	182.0	10.0	0.1	141.0	4.1	105.0	11.0	9.9	5.5	3.1	1.3	63.0	31.0	189.0	1.0
14648	489	3	1	acetazolamide	Single	9 hr	0	mg/kg	Control	1357.0	70.0	29.0	112.0	0.03	0.0	186.0	13.0	0.1	140.0	4.1	103.0	10.9	8.8	5.5	3.2	1.3	64.0	36.0	156.0	1.0
14653	489	4	1	acetazolamide	Single	24 hr	0	mg/kg	Control	1806.0	65.0	120.0	136.0	0.01	0.0	189.0	16.0	0.1	140.0	4.2	104.0	10.4	8.2	5.3	2.9	1.3	78.0	44.0	173.0	2.0
14658	489	5	1	acetazolamide	Single	3 hr	60	mg/kg	Low	1727.0	83.0	23.0	132.0	0.02	0.0	181.0	11.0	0.1	142.0	3.9	113.0	10.8	9.4	5.9	3.3	1.3	81.0	41.0	204.0	1.0
14663	489	6	1	acetazolamide	Single	6 hr	60	mg/kg	Low	1465.0	86.0	31.0	150.0	0.01	0.0	178.0	10.0	0.2	141.0	4.5	114.0	11.2	9.2	6.1	3.3	1.2	70.0	34.0	163.0	1.0
14668	489	7	1	acetazolamide	Single	9 hr	60	mg/kg	Low	1213.0	70.0	26.0	113.0	0.03	0.0	188.0	12.0	0.2	140.0	3.8	111.0	10.5	8.9	5.6	3.1	1.2	59.0	29.0	126.0	1.0
14673	489	8	1	acetazolamide	Single	24 hr	60	mg/kg	Low	1340.0	73.0	121.0	131.0	0.0	0.0	181.0	21.0	0.2	142.0	3.7	109.0	11.2	7.8	5.4	2.9	1.2	62.0	35.0	147.0	1.0
14678	489	9	1	acetazolamide	Single	3 hr	200	mg/kg	Middle	1625.0	83.0	46.0	153.0	0.01	0.0	195.0	12.0	0.1	141.0	3.7	110.0	11.0	9.9	6.1	3.4	1.3	62.0	39.0	209.0	1.0
14683	489	10	1	acetazolamide	Single	6 hr	200	mg/kg	Middle	1806.0	81.0	14.0	128.0	0.03	0.0	181.0	13.0	0.2	140.0	4.0	115.0	11.1	9.5	6.1	3.6	1.4	73.0	32.0	181.0	2.0
14688	489	11	1	acetazolamide	Single	9 hr	200	mg/kg	Middle	1163.0	88.0	9.0	123.0	0.04	0.0	167.0	13.0	0.1	138.0	3.8	114.0	11.3	9.7	6.1	3.5	1.4	68.0	38.0	167.0	2.0
14693	489	12	1	acetazolamide	Single	24 hr	200	mg/kg	Middle	2230.0	105.0	57.0	165.0	0.03	0.0	195.0	21.0	0.2	141.0	3.5	114.0	10.9	8.6	6.0	3.4	1.3	57.0	41.0	236.0	2.0
14698	489	13	1	acetazolamide	Single	3 hr	600	mg/kg	High	1867.0	92.0	25.0	149.0	0.0	0.0	190.0	14.0	0.2	141.0	3.9	113.0	11.2	9.8	6.0	3.1	1.1	79.0	45.0	286.0	1.0
14703	489	14	1	acetazolamide	Single	6 hr	600	mg/kg	High	1429.0	115.0	19.0	180.0	0.0	0.0	186.0	10.0	0.1	137.0	4.1	111.0	11.2	10.2	6.1	3.5	1.3	63.0	33.0	196.0	1.0
14708	489	15	1	acetazolamide	Single	9 hr	600	mg/kg	High	1617.0	73.0	12.0	105.0	0.02	0.0	160.0	11.0	0.2	139.0	4.0	115.0	11.1	10.2	6.1	3.4	1.3	62.0	29.0	174.0	1.0
14713	489	16	1	acetazolamide	Single	24 hr	600	mg/kg	High	1737.0	105.0	28.0	145.0	0.01	0.0	184.0	24.0	0.2	142.0	3.9	118.0	10.9	7.9	6.1	3.3	1.2	43.0	25.0	183.0	1.0
14718	490	1	1	acetazolamide	Repeat	4 day	0	mg/kg	Control	1547.0	86.0	72.0	152.0	0.0	0.0	195.0	19.0	0.1	140.0	4.6	106.0	10.6	8.5	5.4	2.9	1.2	68.0	40.0	179.0	2.0
14723	490	2	1	acetazolamide	Repeat	8 day	0	mg/kg	Control	1843.0	68.0	163.0	156.0	0.0	0.0	211.0	22.0	0.2	142.0	4.7	105.0	11.0	7.3	5.4	3.3	1.5	66.0	42.0	172.0	2.0
14728	490	3	1	acetazolamide	Repeat	15 day	0	mg/kg	Control	1481.0	77.0	100.0	146.0	0.0	0.0	217.0	21.0	0.2	144.0	4.5	106.0	10.7	8.1	5.6	2.9	1.1	61.0	37.0	154.0	4.0
14733	490	4	1	acetazolamide	Repeat	29 day	0	mg/kg	Control	1022.0	76.0	313.0	185.0	0.01	0.0	204.0	17.0	0.2	142.0	4.4	104.0	10.2	6.5	6.1	3.4	1.2	54.0	37.0	141.0	2.0
14738	490	5	1	acetazolamide	Repeat	4 day	60	mg/kg	Low	1315.0	83.0	118.0	159.0	0.0	0.0	183.0	14.0	0.1	142.0	4.2	106.0	10.7	6.9	5.3	3.1	1.4	77.0	40.0	309.0	1.0
14743	490	6	1	acetazolamide	Repeat	8 day	60	mg/kg	Low	1578.0	76.0	126.0	152.0	0.01	0.0	178.0	23.0	0.2	145.0	4.1	109.0	10.8	7.0	5.3	3.1	1.5	65.0	42.0	131.0	1.0
14748	490	7	1	acetazolamide	Repeat	15 day	60	mg/kg	Low	1239.0	65.0	213.0	147.0	0.0	0.0	196.0	18.0	0.2	145.0	3.5	104.0	10.8	7.5	5.4	3.0	1.3	54.0	29.0	138.0	2.0
14753	490	8	1	acetazolamide	Repeat	29 day	60	mg/kg	Low	1415.0	68.0	149.0	140.0	0.0	0.0	189.0	19.0	0.2	143.0	4.1	108.0	10.0	5.5	6.1	3.3	1.2	70.0	48.0	145.0	2.0
14758	490	9	1	acetazolamide	Repeat	4 day	200	mg/kg	Middle	2761.0	66.0	82.0	134.0	0.01	0.0	177.0	16.0	0.2	144.0	4.0	112.0	10.4	6.7	5.3	3.0	1.4	69.0	42.0	226.0	1.0
14763	490	10	1	acetazolamide	Repeat	8 day	200	mg/kg	Middle	1536.0	91.0	117.0	170.0	0.0	0.0	183.0	19.0	0.1	143.0	4.7	109.0	10.7	7.5	5.1	3.1	1.6	72.0	48.0	269.0	1.0
14768	490	11	1	acetazolamide	Repeat	15 day	200	mg/kg	Middle	1178.0	86.0	180.0	167.0	0.0	0.0	186.0	21.0	0.2	144.0	3.7	107.0	10.7	7.0	5.5	3.2	1.4	68.0	45.0	155.0	2.0
14773	490	12	1	acetazolamide	Repeat	29 day	200	mg/kg	Middle	1392.0	80.0	115.0	150.0	0.0	0.0	199.0	19.0	0.2	141.0	4.2	110.0	10.3	5.6	5.7	3.0	1.1	59.0	37.0	110.0	2.0
14778	490	13	1	acetazolamide	Repeat	4 day	600	mg/kg	High	1291.0	71.0	125.0	143.0	0.01	0.0	196.0	23.0	0.2	144.0	4.0	116.0	11.0	9.1	5.4	3.2	1.4	62.0	49.0	240.0	1.0
14783	490	14	1	acetazolamide	Repeat	8 day	600	mg/kg	High	1669.0	114.0	181.0	222.0	0.0	0.0	172.0	23.0	0.2	145.0	4.2	114.0	11.0	8.2	5.3	2.8	1.1	75.0	52.0	170.0	1.0
